Date,Water Year,Survey Event,Season 2,Season 3,Bullfrogs,Bullfrog Time,Crayfish ,Regime,Species,Sex-stage,Length,Z.Spore.Equiv,Days.since.peak.Flow,Proceding.peak.flow,Daily.Flow,Drought.index,Water.temp,clutches,Bullfrog.distance
2/25/14,2014,5,wet,WinterSpring,1,Established,1,Dam release + Diversion,HYRE,F,32,0.00,429,121.76,0.01,3.52,11.3,0,4.55
2/25/14,2014,5,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,JUV,32,0.00,429,121.76,0.01,3.52,11.3,0,37.11
2/25/14,2014,5,wet,WinterSpring,1,Established,1,Dam release + Diversion,RACA,JUV,45,0.00,429,121.76,0.01,3.52,11.3,0,0
2/25/14,2014,5,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,F,55,0.00,429,121.76,0.01,3.52,11.3,0,25.81
3/6/14,2014,6,wet,WinterSpring,0,Absent,0,Unregulated,RABO,JUV,39,0.00,6,5.52,0.10,1.09,12.9,0,4943.95
3/6/14,2014,6,wet,WinterSpring,0,Absent,0,Unregulated,RABO,JUV,39,52.60,6,5.52,0.10,1.09,12.9,0,5177.9
3/12/14,2014,7,wet,WinterSpring,0,Absent,1,Arroyo Hondo,RABO,JUV,27,0.00,12,11.78,0.12,1.02,11.7,0,2418.95
3/19/14,2014,8,wet,WinterSpring,1,Recent,1,Diversion,RABO,JUV,33,33.85,19,4.90,0.03,3.88,12.5,0,10.35
3/19/14,2014,8,wet,WinterSpring,1,Recent,1,Diversion,RACA,JUV,40,0.00,19,4.90,0.03,3.88,12.5,1,0
3/19/14,2014,8,wet,WinterSpring,1,Recent,0,Diversion,RABO,JUV,28,83.03,19,4.90,0.03,3.88,12.5,6,7
3/20/14,2014,9,wet,WinterSpring,0,Absent,0,Unregulated,RABO,F,62,0.00,20,5.52,0.03,3.62,11.7,0,6280.8
3/20/14,2014,9,wet,WinterSpring,0,Absent,0,Unregulated,RABO,JUV,35,0.00,20,5.52,0.03,3.62,11.7,0,6268.63
3/20/14,2014,9,wet,WinterSpring,0,Absent,0,Unregulated,RABO,M,50,149.66,20,5.52,0.03,3.62,11.7,0,6389.24
3/20/14,2014,9,wet,WinterSpring,0,Absent,0,Unregulated,RABO,M,52,1.41,20,5.52,0.03,3.62,11.7,0,6743.33
3/26/14,2014,10,wet,WinterSpring,1,Established,1,Arroyo Hondo,RABO,F,43,0.00,26,11.78,0.06,2.21,12,0,439.59
3/26/14,2014,10,wet,WinterSpring,1,Established,1,Arroyo Hondo,RABO,M,38,0.00,26,11.78,0.06,2.21,12,3,30.68
3/26/14,2014,10,wet,WinterSpring,1,Established,1,Arroyo Hondo,RACA,LARV,25,0.00,26,11.78,0.06,2.21,12,6,0
3/26/14,2014,10,wet,WinterSpring,0,Absent,1,Arroyo Hondo,RABO,F,36,0.00,26,11.78,0.06,2.21,12,0,324.77
8/8/14,2014,11,dry,Summer,1,Recent,1,Diversion,RABO,M,47.1,0.77,161,4.90,0.00,32.87,18,0,38.05
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,22.2,0.00,161,4.90,0.00,32.87,18,6,7.61
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,23.7,0.00,161,4.90,0.00,32.87,18,6,7.61
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,24.4,0.00,161,4.90,0.00,32.87,18,6,7.61
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,LARV,20,0.00,161,4.90,0.00,32.87,20,6,7.61
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,LARV,21,0.00,161,4.90,0.00,32.87,20,6,7.61
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,LARV,22,0.00,161,4.90,0.00,32.87,20,6,7.61
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,LARV,23,0.00,161,4.90,0.00,32.87,20,6,7.61
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,LARV,24,0.00,161,4.90,0.00,32.87,20,6,7.61
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,LARV,25,0.00,161,4.90,0.00,32.87,20,6,7.61
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,22.5,0.00,161,4.90,0.00,32.87,18,6,45.33
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,23.2,0.00,161,4.90,0.00,32.87,18,6,45.33
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,23.9,0.00,161,4.90,0.00,32.87,18,6,45.33
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,24.3,0.00,161,4.90,0.00,32.87,18,6,45.33
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,25.2,0.00,161,4.90,0.00,32.87,18,6,45.33
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,26.5,0.00,161,4.90,0.00,32.87,18,6,45.33
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,26.5,0.00,161,4.90,0.00,32.87,18,6,45.33
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,26.7,0.00,161,4.90,0.00,32.87,18,6,45.33
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,26.8,0.00,161,4.90,0.00,32.87,18,6,45.33
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,26.8,0.00,161,4.90,0.00,32.87,18,6,45.33
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,27,0.00,161,4.90,0.00,32.87,18,6,45.33
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,23.6,0.00,161,4.90,0.00,32.87,18,6,26.17
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,23.6,0.00,161,4.90,0.00,32.87,18,6,26.17
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,23.9,0.00,161,4.90,0.00,32.87,18,6,26.17
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,JUV,25.3,0.00,161,4.90,0.00,32.87,18,6,26.17
8/8/14,2014,11,dry,Summer,1,Recent,0,Diversion,RABO,LARV,23,0.00,161,4.90,0.00,32.87,20,6,26.17
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,17,0.00,219,4.87,0.02,44.96,17.4,0,0
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,13,0.00,219,4.87,0.02,44.96,17.4,0,0
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,17,0.00,219,4.87,0.02,44.96,17.4,0,0
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,15,0.00,219,4.87,0.02,44.96,17.4,0,0
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,11,0.00,219,4.87,0.02,44.96,17.4,0,0
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RABO,JUV,25,33769.68,219,4.87,0.02,44.96,17.4,0,110.15
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RABO,JUV,26,885.49,219,4.87,0.02,44.96,17.4,0,110.15
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RABO,JUV,28,1198.60,219,4.87,0.02,44.96,17.4,0,110.15
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RABO,JUV,31,32705.55,219,4.87,0.02,44.96,17.4,0,110.15
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,26,0.00,219,4.87,0.02,44.96,17.4,0,0
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,27,0.00,219,4.87,0.02,44.96,17.4,0,0
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,18,0.00,219,4.87,0.02,44.96,17.4,0,0
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,16,0.00,219,4.87,0.02,44.96,17.4,0,0
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,25,12.41,219,4.87,0.02,44.96,17.4,0,0
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RABO,JUV,29,930.14,219,4.87,0.02,44.96,17.4,0,0
10/6/14,2015,12,dry,Fall,1,Established,1,Dam release + Diversion,RABO,M,38,7.14,219,4.87,0.02,44.96,17.4,0,0
10/9/14,2015,13,dry,Fall,1,Established,1,Arroyo Hondo,RACA,F,74,34.43,223,11.78,0.00,18.93,19,3,14.26
10/9/14,2015,13,dry,Fall,1,Established,1,Arroyo Hondo,RACA,JUV,44,74.15,223,11.78,0.00,18.93,19,3,14.26
10/9/14,2015,13,dry,Fall,1,Established,1,Arroyo Hondo,RACA,LARV,14,0.00,223,11.78,0.00,18.93,19,3,17.69
10/9/14,2015,13,dry,Fall,1,Established,1,Arroyo Hondo,RACA,LARV,16,1.58,223,11.78,0.00,18.93,19,3,17.69
10/9/14,2015,13,dry,Fall,1,Established,1,Arroyo Hondo,RACA,LARV,25,3.11,223,11.78,0.00,18.93,19,3,17.69
10/9/14,2015,13,dry,Fall,1,Established,1,Arroyo Hondo,RACA,LARV,16,0.00,223,11.78,0.00,18.93,19,3,17.69
10/9/14,2015,13,dry,Fall,1,Established,1,Arroyo Hondo,RACA,LARV,16,1.77,223,11.78,0.00,18.93,19,3,17.69
10/9/14,2015,13,dry,Fall,1,Established,1,Arroyo Hondo,RABO,JUV,31,29282.02,223,11.78,0.00,18.93,19,1,31.21
10/9/14,2015,13,dry,Fall,0,Absent,1,Arroyo Hondo,RABO,JUV,23,2390.21,223,11.78,0.00,18.93,19,19,87.15
10/9/14,2015,13,dry,Fall,0,Absent,1,Arroyo Hondo,RABO,JUV,30,0.00,223,11.78,0.00,18.93,19,1,596.74
10/9/14,2015,13,dry,Fall,0,Absent,1,Arroyo Hondo,RABO,JUV,30,16.91,223,11.78,0.00,18.93,19,3,358.14
10/17/14,2015,14,dry,Fall,1,Recent,1,Diversion,RABO,JUV,33,0.00,231,4.90,0.00,47.15,15,0,111.43
10/17/14,2015,14,dry,Fall,1,Recent,0,Diversion,RABO,JUV,35,0.00,231,4.90,0.00,47.15,15,0,32.57
10/17/14,2015,14,dry,Fall,1,Recent,0,Diversion,RABO,JUV,26,0.00,231,4.90,0.00,47.15,15,6,43.2
10/17/14,2015,14,dry,Fall,1,Recent,0,Diversion,RABO,JUV,36,0.00,231,4.90,0.00,47.15,15,6,43.2
11/18/14,2015,15,dry,Fall,1,Recent,0,Diversion,RABO,JUV,36.5,0.00,263,4.90,0.00,53.69,12.5,0,25.27
11/18/14,2015,15,dry,Fall,1,Recent,0,Diversion,RABO,JUV,39.3,0.00,263,4.90,0.00,53.69,12.5,0,25.27
11/18/14,2015,15,dry,Fall,1,Recent,0,Diversion,RABO,JUV,40.03,0.00,263,4.90,0.00,53.69,12.5,6,7.91
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RABO,M,36.5,11686.67,265,4.87,0.02,54.41,13,0,110.15
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RABO,M,41.9,3797.57,265,4.87,0.02,54.41,13,0,110.15
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RABO,F,38.7,435.95,265,4.87,0.02,54.41,12,0,78.86
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,27,0.00,265,4.87,0.02,54.41,12,0,0
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,28,0.00,265,4.87,0.02,54.41,12,0,0
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,29,0.00,265,4.87,0.02,54.41,12,0,0
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,27,0.00,265,4.87,0.02,54.41,12,0,0
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,24,0.00,265,4.87,0.02,54.41,12,0,0
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,25,0.00,265,4.87,0.02,54.41,12,0,0
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RACA,LARV,27,0.00,265,4.87,0.02,54.41,12,0,0
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,HYRE,F,26,2.58,265,4.87,0.02,54.41,13,0,0
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RABO,M,41.3,3797.57,265,4.87,0.02,54.41,12,1,577.41
11/21/14,2015,16,dry,Fall,1,Established,1,Dam release + Diversion,RABO,F,47.1,11686.67,265,4.87,0.02,54.41,12,3,459.21
11/21/14,2015,16,dry,Fall,1,Recent,1,Diversion,RABO,M,49.5,435.95,265,4.87,0.02,54.41,12,0,25.27
2/19/15,2015,17,wet,WinterSpring,0,Absent,0,Unregulated,RADR,JUV,38,0.00,69,34.83,0.10,1.98,12,0,7647.21
2/19/15,2015,17,wet,WinterSpring,0,Absent,0,Unregulated,RADR,JUV,42.4,0.00,69,34.83,0.10,1.98,12,0,7598.49
2/27/15,2015,18,wet,WinterSpring,1,Recent,0,Diversion,RABO,M,53.5,39.74,77,26.56,0.06,2.90,12.5,6,1.52
3/13/15,2015,19,wet,WinterSpring,0,Absent,0,Unregulated,HYRE,F,34,0.00,378,34.83,0.04,10.85,14,2,7425.98
3/13/15,2015,19,wet,WinterSpring,0,Absent,0,Unregulated,RABO,JUV,28,1.68,378,34.83,0.04,10.85,14,2,7425.98
3/13/15,2015,19,wet,WinterSpring,0,Absent,0,Unregulated,ANBO,M,97,9.18,378,34.83,0.04,10.85,18,0,8027.84
3/13/15,2015,19,wet,WinterSpring,0,Absent,0,Unregulated,ANBO,M,96,11.84,378,34.83,0.04,10.85,18,0,8027.84
3/13/15,2015,20,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,JUV,35.4,16.17,91,43.04,0.06,2.11,11.5,0,116.56
3/13/15,2015,20,wet,WinterSpring,0,Absent,0,Unregulated,RABO,F,40.07,0.00,91,43.04,0.06,2.11,12,11,92.22
3/19/15,2015,20,wet,WinterSpring,1,Established,1,Dam release + Diversion,RADR,JUV,46.2,344.96,97,43.04,0.05,2.25,16.5,0,36.85
3/19/15,2015,20,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,JUV,32,15823.82,97,43.04,0.05,2.25,14.5,0,104.99
3/19/15,2015,20,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,M,34.9,2.86,97,43.04,0.05,2.25,14.5,11,130.57
3/19/15,2015,20,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,M,42.9,47.08,97,43.04,0.05,2.25,14.8,0,521.74
3/19/15,2015,20,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,M,41.9,208.82,97,43.04,0.05,2.25,14.5,0,116.56
3/19/15,2015,20,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,M,48.3,29.52,97,43.04,0.05,2.25,15,0,27.94
4/3/15,2015,21,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,M,43.4,24.70,112,43.04,0.05,2.60,13,1,155.7
4/3/15,2015,21,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,F,60.04,29.67,112,43.04,0.05,2.60,15,0,562.65
4/8/15,2015,22,wet,WinterSpring,1,Recent,0,Diversion,RACA,JUV,51,88.03,117,26.56,0.02,4.41,14.5,6,0
4/8/15,2015,22,wet,WinterSpring,1,Recent,0,Diversion,RABO,M,36.5,163934.84,117,26.56,0.02,4.41,14.5,6,0
4/8/15,2015,22,wet,WinterSpring,1,Recent,0,Diversion,RABO,M,37,30937.46,117,26.56,0.02,4.41,14.5,6,0
4/8/15,2015,22,wet,WinterSpring,1,Recent,0,Diversion,RABO,M,41.6,136214.07,117,26.56,0.02,4.41,14.5,6,0
4/8/15,2015,22,wet,WinterSpring,1,Recent,0,Diversion,RABO,M,53.7,3314.01,117,26.56,0.02,4.41,14.5,6,0
4/22/15,2015,23,wet,WinterSpring,1,Established,1,Diversion,RACA,JUV,50,30.24,131,26.56,0.02,4.93,17,5,0
4/22/15,2015,23,wet,WinterSpring,1,Recent,0,Diversion,RABO,F,36.8,12983.16,131,26.56,0.02,4.93,16,6,0
4/22/15,2015,23,wet,WinterSpring,1,Recent,0,Diversion,RABO,M,37.4,1139.87,131,26.56,0.02,4.93,16,6,0
4/22/15,2015,24,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,F,36.5,0.00,131,43.04,0.05,3.04,14,3,446.41
4/22/15,2015,24,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,F,39.6,7.53,131,43.04,0.05,3.04,14.5,1,497.6
5/3/15,2015,25,wet,WinterSpring,1,Recent,0,Diversion,RABO,F,37.7,2904.01,142,26.56,0.01,5.35,15,0,100.46
5/3/15,2015,26,wet,WinterSpring,1,Established,1,Dam release + Diversion,RACA,F,62,66.60,142,43.04,0.05,3.30,20,3,0
5/3/15,2015,26,wet,WinterSpring,1,Established,1,Dam release + Diversion,RABO,F,46,2.72,142,43.04,0.05,3.30,20,3,0
6/4/15,2015,27,dry,Summer,0,Absent,0,Unregulated,ANBO,LARV,14,0.00,174,34.83,0.01,5.00,22,0,7953.8
6/4/15,2015,27,dry,Summer,0,Absent,0,Unregulated,ANBO,LARV,14,0.00,174,34.83,0.01,5.00,22,0,7953.8
6/4/15,2015,27,dry,Summer,0,Absent,0,Unregulated,HYRE,LARV,14,0.00,174,34.83,0.01,5.00,22,0,7953.8
6/4/15,2015,27,dry,Summer,0,Absent,0,Unregulated,RADR,F,83,2.64,174,34.83,0.01,5.00,16.5,0,7280.97
6/4/15,2015,27,dry,Summer,0,Absent,0,Unregulated,RADR,F,62,0.00,174,34.83,0.01,5.00,19,0,7880.75
6/4/15,2015,27,dry,Summer,0,Absent,0,Unregulated,HYRE,JUV,16,1.15,174,34.83,0.01,5.00,17,2,7419.28
6/4/15,2015,27,dry,Summer,0,Absent,0,Unregulated,RADR,F,60,0.00,174,34.83,0.01,5.00,17,2,7419.28
6/4/15,2015,27,dry,Summer,0,Absent,0,Diversion,RABO,LARV,20,0.00,174,26.56,0.02,6.55,19.5,0,1653.69
6/4/15,2015,27,dry,Summer,0,Absent,0,Diversion,RADR,F,60,0.00,174,26.56,0.02,6.55,17,0,1819.14
6/4/15,2015,27,dry,Summer,0,Absent,0,Diversion,RABO,LARV,22,0.00,174,26.56,0.02,6.55,20.5,0,2198.41
6/4/15,2015,27,dry,Summer,0,Absent,0,Diversion,HYRE,LARV,15,0.01,174,26.56,0.02,6.55,19.5,0,2541.06
6/4/15,2015,27,dry,Summer,0,Absent,0,Diversion,HYRE,LARV,15,0.00,174,26.56,0.02,6.55,19.5,0,2541.06
6/4/15,2015,27,dry,Summer,0,Absent,0,Diversion,RABO,LARV,16,0.00,174,26.56,0.02,6.55,19.5,0,2541.06
6/4/15,2015,27,dry,Summer,0,Absent,0,Diversion,RABO,LARV,20,0.00,174,26.56,0.02,6.55,20.5,0,2541.06
8/14/15,2015,28,dry,Summer,0,Absent,0,Unregulated,HYRE,JUV,15.5,0.00,245,34.83,0.00,7.03,17.1,0,7544.37
8/14/15,2015,28,dry,Summer,0,Absent,0,Unregulated,HYRE,JUV,14.5,12.49,245,34.83,0.00,7.03,17.1,0,7544.37
8/14/15,2015,28,dry,Summer,0,Absent,0,Unregulated,RADR,JUV,31.5,6696.30,245,34.83,0.00,7.03,17.1,0,7544.37
8/14/15,2015,28,dry,Summer,0,Absent,0,Unregulated,HYRE,JUV,17,0.00,245,34.83,0.00,7.03,15.3,0,7622.69
8/14/15,2015,28,dry,Summer,0,Absent,0,Unregulated,RADR,M,70,0.00,245,34.83,0.00,7.03,15.3,0,7622.69
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,HYRE,LARV,13,0.00,245,26.56,0.00,9.22,21,6,19.47
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,HYRE,LARV,15,0.00,245,26.56,0.00,9.22,21,6,19.47
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,RABO,JUV,23.4,0.00,245,26.56,0.00,9.22,21,6,19.47
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,RABO,JUV,21.6,0.00,245,26.56,0.00,9.22,21,6,41.07
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,HYRE,JUV,15.5,0.00,245,26.56,0.00,9.22,22,6,0.61
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,HYRE,LARV,14.9,0.00,245,26.56,0.00,9.22,22,6,0.61
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,HYRE,LARV,16.6,0.00,245,26.56,0.00,9.22,22,6,0.61
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,HYRE,LARV,15.5,0.00,245,26.56,0.00,9.22,22,6,0.61
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,HYRE,LARV,17.7,0.00,245,26.56,0.00,9.22,22,6,0.61
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,HYRE,LARV,16.2,0.00,245,26.56,0.00,9.22,22,6,0.61
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,RABO,JUV,26.5,2.07,245,26.56,0.00,9.22,22,6,0.61
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,RABO,LARV,20,0.00,245,26.56,0.00,9.22,22,6,0.61
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,RABO,LARV,20.5,0.00,245,26.56,0.00,9.22,22,6,0.61
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,RABO,LARV,22.5,0.00,245,26.56,0.00,9.22,22,6,0.61
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,RABO,LARV,23,0.00,245,26.56,0.00,9.22,22,6,0.61
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,RABO,JUV,28.1,0.00,245,26.56,0.00,9.22,19,6,8.52
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,RABO,JUV,26.1,0.00,245,26.56,0.00,9.22,18,6,28.6
8/14/15,2015,28,dry,Summer,1,Recent,0,Diversion,RABO,JUV,28.9,0.00,245,26.56,0.00,9.22,18,6,28.6
8/14/15,2015,28,dry,Summer,0,Absent,0,Diversion,HYRE,JUV,18,0.00,245,26.56,0.00,9.22,18.5,0,134.59
8/14/15,2015,28,dry,Summer,0,Absent,0,Diversion,RABO,M,46.6,0.00,245,26.56,0.00,9.22,18.5,0,134.59
8/14/15,2015,28,dry,Summer,0,Absent,0,Diversion,RADR,M,87.3,0.00,245,26.56,0.00,9.22,16.5,0,150.44
8/14/15,2015,28,dry,Summer,0,Absent,0,Diversion,HYRE,LARV,12.5,0.00,245,26.56,0.00,9.22,19,0,176.57
8/14/15,2015,28,dry,Summer,0,Absent,0,Diversion,HYRE,LARV,15,0.00,245,26.56,0.00,9.22,19,0,176.57
8/14/15,2015,28,dry,Summer,0,Absent,0,Diversion,HYRE,LARV,15,0.00,245,26.56,0.00,9.22,19,0,176.57
8/14/15,2015,28,dry,Summer,0,Absent,0,Diversion,HYRE,LARV,14.7,0.00,245,26.56,0.00,9.22,19,0,176.57
8/14/15,2015,28,dry,Summer,0,Absent,0,Diversion,HYRE,LARV,14,0.00,245,26.56,0.00,9.22,19,0,176.57
8/14/15,2015,28,dry,Summer,0,Absent,0,Diversion,HYRE,LARV,14.5,0.00,245,26.56,0.00,9.22,19,0,176.57
8/14/15,2015,28,dry,Summer,0,Absent,0,Diversion,HYRE,LARV,14.4,0.00,245,26.56,0.00,9.22,19,0,176.57
8/28/15,2015,29,dry,Summer,1,Established,1,Dam release + Diversion,RABO,JUV,23.2,604.87,259,43.04,0.00,6.02,21,1,569.49
8/28/15,2015,29,dry,Summer,1,Established,1,Dam release + Diversion,RABO,JUV,33.8,64.82,259,43.04,0.00,6.02,23,0,588.38
8/28/15,2015,29,dry,Summer,1,Established,1,Dam release + Diversion,RABO,JUV,21.2,17.01,259,43.04,0.00,6.02,22,1,513.44
8/28/15,2015,29,dry,Summer,1,Established,1,Dam release + Diversion,RABO,JUV,28.8,0.00,259,43.04,0.00,6.02,22,1,475.97
9/11/15,2015,30,dry,Summer,1,Established,1,Diversion,RACA,LARV,38,2051.60,273,26.56,0.00,10.28,21,0,0
